Weapon,Name,Affinity,Frame,Enhance,Reserves,Column 1,Column 2,Origin Trait,Rank,Tier
LFR,Ideal,Solar,Adaptive Burst,Yes,29,Rewind Rounds,Chaos Reshaped,Nanotech Tracer Rockets,0,/
LFR,Scintillation,Strand,Adaptive Burst,Yes,29,"Rewind Rounds
Cornered","Bait and Switch
Surrounded",Veist Stinger,1,S
LFR,Mistral Lift,Void,Adaptive Burst,Yes,26,"Envious Arsenal
Envious Assassin",Bait and Switch,Veist Stinger,2,S
LFR,Doomed Petitioner,Void,Adaptive Burst,Yes,25,"Envious Assassin
Reconstruction","Surrounded
Precision Instrument",Dragon's Vengeance,3,A
LFR,Cataclysmic,Solar,Precision,Yes,27,Fourth Time's the Charm,Bait and Switch,Souldrinker,4,A
LFR,Briar's Contempt,Solar,Adaptive Burst,Yes,27,Rewind Rounds,"Surrounded
Focused Fury",Harmonic Resonance,5,A
LFR,Stormchaser,Arc,Adaptive Burst,No,26,"Clown Cartridge
Auto-Loading Holster","Firing Line
Frenzy",Bitterspite,6,B
LFR,Line in the Sand,Arc,Precision,Yes,27,"Clown Cartridge
Deconstruct",Bait and Switch,Cast No Shadows,7,B
LFR,Suspectum-4fr,Stasis,Precision,Yes,27,Envious Assassin,"Precision Instrument
Firing Line",Veist Stinger,8,C
LFR,Eyes Unveiled,Void,Precision,Yes,28,"Subsistence
Triple Tap","Discord
Reservoir Burst",Willing Vessel,9,C
LFR,Reed's Regret,Stasis,Precision,No,27,Triple Tap,Firing Line,Veist Stinger,10,C
LFR,Taipan-4fr,Void,Precision,Yes,29,Triple Tap,Firing Line,Veist Stinger,11,C
LFR,Fire and Forget,Stasis,Adaptive Burst,Yes,26,Field Prep,Frenzy,Veist Stinger,12,C
LFR,Sailspy Pitchglass,Arc,Precision,Yes,27,Clown Cartridge,"Focused Fury
Frenzy",Right Hook,13,D
LFR,Laser Painter,Strand,Precision,No,26,"Clown Cartridge
Auto-Loading Holster",Focused Fury,Veist Stinger,14,D
LFR,Threaded Needle,Void,Precision,No,27,Clown Cartridge,Frenzy,,15,D
LFR,Tarantula,Arc,Precision,No,27,Field Prep,Box Breathing,,16,E
LFR,Corsair's Wrath,Solar,Precision,No,26,Moving Target,High-Impact Reserves,,17,E
LMG,Ideal,Void,High-Impact,Yes,498,"Demolitionist
Repulsor Brace
Dragonfly",Destabilizing Rounds,Dark Ether Reaper,0,/
LMG,Commemoration,Void,Adaptive,Yes,498,"Reconstruction
Dragonfly
Subsistence","Killing Tally
Repulsor Brace",Bray Inheritance,1,S
LMG,Song of Ir Yut,Arc,Adaptive,Yes,496,"Demolitionist
Reconstruction","Sword Logic
Bait and Switch
Cascade Point",Cursed Thrall,2,S
LMG,Corrective Measure,Void,Aggressive,Yes,603,"Destabilizing Rounds
Firefly
Demolitionist","One for All
Demoralize
Killing Tally",Timelost Magazine,3,S
LMG,Pro Memoria,Strand,Aggressive,Yes,590,"Demolitionist
Reconstruction
Hatchling","Desperate Measures
Bait and Switch
Dragonfly",Dealer's Choice,4,S
LMG,"Hammerhead
BRAVE version",Void,Adaptive,Yes,475,"Destabilizing Rounds
Rewind Rounds
Fourth Time's the Charm","Killing Tally
Desperate Measures
Onslaught",Indomitability,5,S
LMG,Watchful Eye,Arc,Aggressive,Yes,566,"Overflow
Field Prep","Jolting Feedback
Killing Tally
Rolling Storm",Runneth Over,6,S
LMG,Avalanche,Solar,Adaptive,Yes,477,"Auto-Loading Holster
Subsistence
Dragonfly","Incandescent
Cascade Point",Dawning Surprise,7,A
LMG,Archon's Thunder,Stasis,High-Impact,Yes,481,"Air Trigger
Rimestealer
Fourth Time's the Charm","Headstone
Desperate Measures
Killing Tally",Skulking Wolf,8,A
LMG,Speleologist,Solar,Rapid,Yes,690,"Envious Assassin
Heal Clip
Deconstruct","Incandescent
Killing Tally
One For All",Radiolaria Transposer,9,A
LMG,Unwavering Duty,Solar,Adaptive,No,499,"Auto-Loading Holster
Subsistence
Field Prep","Incandescent
Killing Tally
Cascade Point",Alacrity,10,A
