PERK,CLASS,TRIGGER,EFFECT,ENHANCEMENT,USAGE,RANK,TIER
Eager Edge,utility,"Readying sword
3s ICD",80% increased lunge for 1s,"20% extra lunge
0.5s duration",defines an entire subset of endgame PvE,1,S
Envious Arsenal,refill,"Dealing damage with both other weapons, then readying",Refills mag,20 inventory size,class-agnostic BnS-compatible reloads,2,S
One-Two Punch,utility,12 pellets of shotgun hit,100% melee damage for 1.22s,10 pellets,foundation of various meta-defining melee builds,3,S
Bait and Switch,sustained,Damage with all weapons (7s max between),30% damage for 10s,1s duration,lower setup alternative to Elemental Honing,4,S
Elemental Honing,sustained,Dealing different elemental damage (5 stacks),Up to 35% damage for 20s (40% for kinetics),3s duration,best setup sustained DPS perk in the game,5,S
Heal Clip,utility,Kill-reload within 5.3s,"x2 Cure for player
x1 Cure to allies within ?m",?s kill-reload time,subclass-agnostic survivability and Benevolence procs,6,S
Fourth Time's the Charm,"overflow
ammo",4 precision hits with 2s between,2 ammo refund,1s extra time,literally (nearly) doubles total damage on precision weapons on top of effectively overflowing,7,S
Relentless Strikes,ammo,3 hits with 2s between,1 ammo,?s tolerance,makes swords the highest total damage weapons in the game,8,S
Jolting Feedback,splash,"Multiple hits within ?s, reduced if amplified",Inflicts jolt,Less hits needed if not amplified,"on-hit champ stun, stagger, and decent add clear",9,A
Destabilizing Rounds,splash,"Weapon kill
1.5 ICD","Volatile explosion
Volatile Rounds for 2s on kill splash hit",?s reduced ICD,probably the best on-kill splash effect in the game,10,A
Redirection,burst,"Hits against minors (30 stacks, 2 per)","2x damage against elites+ at 3 stacks or more, 3 stacks per hit consumed","2 stacks consumed, 2 stacks for 2x damage",excellent storable damage perk on DPS specials and wave frames,11,A
Kinetic Tremors,splash,Multiple hits on enemy within 3s,3 shockwaves under target,Reduced hit count,"versatile: add clear, major chip, and even boss damage",12,A
Trench Barrel,sustained,Melee damage,"50% damage, 30 handling, 30 reload for 5s or 3 shots",5 stats,extremely high damage boost for now-ranged melee options,13,A
Chaos Reshaped,"sustained
utility","In combat every 5s for 12s
Above requirement for additional 12s","20% damage for 7s
35% damage for 7s, 35 HP every 7s",-0.5s combat duration,"highest non-Surrounded sustained damage, plus small health ticks",14,A
Chill Clip,utility,≥50% mag,x50 slow stacks (x40 for rapid fusions) on hit,5 stability,BiS champ stun perk on every weapon type,15,A
Physic,utility,6 healing hits on allies within 1s of each,Restoration x1 for 4-6s for user,"0.5s with Solace
1s without","BiS support auto perk, doubles its use cases",16,A
Attrition Orbs,utility,"67% of mag hit + 2, rounded down (bows: 5, swords: 10)",Creates an 0.8% Super Orb of Power,0.3% more Super,extremely potent orb generation on certain weapon types,17,A
Incandescent,splash,Weapon kill,30(40) scorch to enemies within 4-8m,5 scorch,excellent stagger and simple trigger splash damage,18,A
Air Trigger,"reload
ammo","Passive
Airborne","30 inventory size
30 reload, 0.8x reload duration","10 inventory size
5 reload",Field Prep without the awkward reload requirement,19,A
Rewind Rounds,overflow,Emptying mag,"60% of hits refilled, hits within 1s of proc don't count",70% of hits,almost Envious Assassin with zero setup requirement,20,A
Firefly,"splash
reload",Precision kill,"Solar explosion on target, 50 reload for 6s",5 reload,"decent splash with great reload, good slot efficiency",21,A
Chain Reaction,splash,Weapon kill,Elemental explosion on target,"20 guard endurance
20 inventory size","still decent splash post-nerf, but only really relevant on specials",22,B
Voltshot,splash,Kill-reload within 5.3s,Next hit within 7s applies jolt,1s duration,decent staggering add clear with reduced uptime due to kill-reload requirement,23,B
Frenzy,"sustained
reload",Damage dealt/received every 5s for 12s,"15% damage, 100 handling, 100 reload for 7s",N/A,"all-in-one stat and damage package, just missing splash",24,B
Cascade Point,burst,Reading within 5s or kill or precision hits with another weapon,0.6x firing delay (0.7x for SMG/LMG) for 2.5s,0.25s duration,niche extreme burst DPS perk,25,B
Reciprocity,utility,Healing ally,3 HP per hit,0.5 more HP,essentially gives Restoration if held down,26,B
Repulsor Brace,utility,Weapon kill on void debuffed enemy,45 HP Void Overshield for 8s,2s duration,sustain with Destabilizing Rounds and void builds,27,B
Withering Gaze,utility,1.5s ADS without firing,Weaken applied on next shot,1.4s ADS?,would've been broken in Y4; still a free standard weaken source from a legendary perk,28,B
Bipod,utility,Passive,"1 mag, 5 reserves, 0.75x firing delay
-30 blast, -20 reload, -25% damage","5 blast, 5 reload","solves rocket low shot count issue when combined with Pack Hunter, expands viability",29,B
Field Prep,"reload
ammo","Passive
Crouching","30 inventory size
50 reload, 0.8x reload/ready/stow duration","10 inventory size
5 reload","sizable reserves boost, awkward reload trigger but very potent",30,B
